Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	LossPi	DeltaLossPi	KL	Entropy
1	4.869045257568359	1.7000244413127288	6.582515	2.1031034	6.666666666666667	-0.0051321471109986305	0.0	0.0	-0.047887519001960754
2	3.9843539428710937	2.0818305778058646	6.582515	-0.24595201	13.92	-0.012317451648414135	0.0	-0.0021562755573540926	-0.04749072715640068
3	0.7853725712473799	5.815268444758476	6.582515	-21.04275	21.75609756097561	-0.005398863460868597	0.0	-0.0025788252241909504	-0.046936340630054474
4	-5.06042266310307	10.97793083381361	6.582515	-29.90835	29.68421052631579	-0.007884366437792778	0.0	-0.002783628413453698	-0.04608810320496559
5	-10.986981953660102	15.015164281166255	6.582515	-40.346	37.64383561643836	-0.010433629155158997	0.0	0.0013625096762552857	-0.04586447775363922
6	-14.72214328037219	15.960524649449157	6.582515	-40.346	45.61797752808989	-0.017803695052862167	0.0	0.0016349459765478969	-0.04560898616909981
7	-17.31176525297619	16.18316613247941	6.582515	-41.400097	53.6	-0.01967206411063671	0.0	0.0016511966241523623	-0.04505443200469017
8	-17.761436273243802	15.171032292369418	6.582515	-41.400097	61.586776859504134	-0.014993681572377682	0.0	0.0024741750676184893	-0.044446807354688644
9	-17.946704279767335	14.31144561108397	6.582515	-41.400097	69.57664233576642	-0.011592828668653965	0.0	0.00358882755972445	-0.04354173690080643
10	-18.952488319546568	13.963563093301827	6.582515	-41.400097	77.56862745098039	-0.01230664737522602	0.0	0.0019481743220239878	-0.042458340525627136
11	-20.019548585428993	13.72336294949205	6.582515	-41.400097	85.56213017751479	-0.012319446541368961	0.0	0.0007402470801025629	-0.04139659181237221
12	-20.413896220439188	13.290274557135907	6.582515	-41.400097	93.55675675675676	-0.00920282956212759	0.0	0.0006253198953345418	-0.04051090404391289
13	-19.56009138875933	13.166269369045231	6.582515	-41.400097	101.55223880597015	-0.006770807318389416	0.0	0.0007262544240802526	-0.039710983633995056
14	-19.772334929435484	14.921441269603013	6.582515	-92.85142	109.54838709677419	-0.00908310990780592	0.0	-0.001346746925264597	-0.03970023989677429
15	-24.50713142100322	23.746211861888614	6.582515	-105.588486	117.54506437768241	-0.011233094148337841	0.0	-0.0031835490372031927	-0.043831732124090195
16	-29.944326132655622	30.977123879005635	6.582515	-115.32965	125.5421686746988	-0.010926503688097	0.0	-0.005343808326870203	-0.048008937388658524
17	-34.99083873820755	36.03741667965944	6.582515	-128.50604	133.53962264150942	-0.010518522001802921	0.0	-0.005403375718742609	-0.051212847232818604
18	-40.421600450400355	41.48844327360216	6.582515	-162.79364	141.5373665480427	-0.006584757473319769	0.0	-0.008782862685620785	-0.0536431148648262
19	-47.25040443497475	49.62348980816183	6.582515	-199.16338	149.53535353535352	-0.0020329351536929607	0.0	-0.012636031024158001	-0.0556296668946743
20	-55.44490689896166	60.016211867302644	6.582515	-257.43063	157.5335463258786	0.0008929880568757653	0.0	-0.016369523480534554	-0.05696694552898407
21	-65.5521407199848	73.8481560499359	6.582515	-310.74298	165.53191489361703	0.0025350630749017	0.0	-0.017665117979049683	-0.05784384906291962
22	-77.1438235960145	89.3242343408535	6.582515	-356.60062	173.5304347826087	-0.002939008641988039	0.0	-0.014388934709131718	-0.05842320993542671
23	-89.80183085180056	105.3610794539991	6.582515	-415.1504	181.5290858725762	-0.004771184176206589	0.0	-0.01225590892136097	-0.05877827852964401
24	-104.07466429045093	123.53587092757934	6.582515	-481.22934	189.52785145888595	-0.001338462927378714	0.0	-0.012172536924481392	-0.0591956228017807
25	-119.91499681933843	143.48054455802244	6.582515	-572.9137	197.5267175572519	-0.00024407112505286932	0.0	-0.010126299224793911	-0.059770617634058
26	-137.82778117359413	166.45948573511225	6.582515	-640.6832	205.52567237163814	0.0027419733814895153	0.0	-0.008664004504680634	-0.0607973150908947
27	-157.1859926470588	190.48517620261472	6.582515	-738.702	213.52470588235295	0.0006661026854999363	0.0	-0.004850747529417276	-0.061872225254774094
28	-178.54963860544217	217.14116540694377	6.582515	-836.5847	221.52380952380952	0.004059026949107647	0.0	-0.003122578375041485	-0.0629206970334053
29	-202.36570021881838	247.55195286126647	6.582515	-993.12286	229.52297592997812	0.0026404981035739183	0.0	0.0017017500940710306	-0.06338294595479965
