Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	LossPi	DeltaLossPi	KL	Entropy
1	-5.666666666666667	3.9440531887330774	-1.0	-15.0	6.666666666666667	-0.03299097716808319	0.0	0.0	-0.040961846709251404
2	-12.92	7.878680005737794	-1.0	-31.0	13.92	-0.02054153010249138	0.0	-0.005005388054996729	-0.04383295029401779
3	-20.75609756097561	12.254974646335139	-1.0	-47.0	21.75609756097561	-0.021953120827674866	0.0	-0.007101016119122505	-0.04715589061379433
4	-28.68421052631579	16.759556284001757	-1.0	-63.0	29.68421052631579	-0.02245187759399414	0.0	-0.007504901848733425	-0.05047636851668358
5	-36.64383561643836	21.312655665683067	-1.0	-79.0	37.64383561643836	-0.021707145497202873	0.0	-0.008470404893159866	-0.05373316630721092
6	-44.61797752808989	25.888918222427296	-1.0	-95.0	45.61797752808989	-0.021973343566060066	0.0	-0.009401357732713223	-0.05699928104877472
7	-52.6	30.4779694537515	-1.0	-111.0	53.6	-0.02137550711631775	0.0	-0.010550767183303833	-0.06025077402591705
8	-60.586776859504134	35.07481304769248	-1.0	-127.0	61.586776859504134	-0.022259002551436424	0.0	-0.011432789266109467	-0.06352464109659195
9	-68.57664233576642	39.676744691860314	-1.0	-143.0	69.57664233576642	-0.022422177717089653	0.0	-0.012489929795265198	-0.06696686893701553
10	-76.56862745098039	44.282185684022515	-1.0	-159.0	77.56862745098039	-0.022642992436885834	0.0	-0.013263451866805553	-0.07064194977283478
11	-84.56213017751479	48.8901433508218	-1.0	-175.0	85.56213017751479	-0.022432876750826836	0.0	-0.014095909893512726	-0.07459010183811188
12	-92.55675675675676	53.49996842636098	-1.0	-191.0	93.55675675675676	-0.02318202331662178	0.0	-0.014997660182416439	-0.078711599111557
13	-100.55223880597015	58.11122248847014	-1.0	-207.0	101.55223880597015	-0.02373829483985901	0.0	-0.01547994650900364	-0.0829385295510292
14	-108.54838709677419	62.72358165676235	-1.0	-223.0	109.54838709677419	-0.023763911798596382	0.0	-0.016111819073557854	-0.08727646619081497
15	-116.54506437768241	67.3368239084474	-1.0	-239.0	117.54506437768241	-0.023616686463356018	0.0	-0.016851305961608887	-0.0916387215256691
16	-124.5421686746988	71.95077941644925	-1.0	-255.0	125.5421686746988	-0.024492889642715454	0.0	-0.017381351441144943	-0.09592634439468384
17	-132.53962264150942	76.56531925883642	-1.0	-271.0	133.53962264150942	-0.024895306676626205	0.0	-0.01776232197880745	-0.10026997327804565
18	-140.5373665480427	81.18034654693479	-1.0	-287.0	141.5373665480427	-0.02480260096490383	0.0	-0.018001480028033257	-0.10470439493656158
19	-148.53535353535352	85.79577976168656	-1.0	-303.0	149.53535353535352	-0.025292720645666122	0.0	-0.018356816843152046	-0.10948006808757782
20	-156.5335463258786	90.41155457837209	-1.0	-319.0	157.5335463258786	-0.025317613035440445	0.0	-0.018942661583423615	-0.11449997872114182
21	-164.53191489361703	95.02762356347537	-1.0	-335.0	165.53191489361703	-0.02548542432487011	0.0	-0.019496355205774307	-0.11963307857513428
22	-172.5304347826087	99.643942201176	-1.0	-351.0	173.5304347826087	-0.025682322680950165	0.0	-0.020162999629974365	-0.12482266873121262
23	-180.5290858725762	104.26048775772739	-1.0	-367.0	181.5290858725762	-0.025565171614289284	0.0	-0.020665979012846947	-0.13015665113925934
24	-188.52785145888595	108.87722138661525	-1.0	-383.0	189.52785145888595	-0.025622712448239326	0.0	-0.021274812519550323	-0.135676771402359
25	-196.5267175572519	113.49412333039253	-1.0	-399.0	197.5267175572519	-0.02556285820901394	0.0	-0.02197432331740856	-0.14134882390499115
26	-204.5036674816626	118.07378241129372	-1.0	-414.0	205.52567237163814	-0.03581544756889343	0.0	-0.022950317710638046	-0.14719216525554657
27	-212.46588235294118	122.63249737228996	-1.0	-430.0	213.52470588235295	-0.036237653344869614	0.0	-0.024029109627008438	-0.1533975899219513
28	-220.43083900226756	127.19971976180999	-1.0	-446.0	221.52380952380952	-0.036694809794425964	0.0	-0.025082062929868698	-0.15988603234291077
29	-228.39824945295405	131.77415448385298	-1.0	-462.0	229.52297592997812	-0.03710995987057686	0.0	-0.026079894974827766	-0.16663606464862823
30	-236.36786469344608	136.35471711493005	-1.0	-478.0	237.52219873150105	-0.03767550364136696	0.0	-0.02706870064139366	-0.17365902662277222
31	-244.33946830265847	140.94051595923298	-1.0	-494.0	245.52147239263803	-0.03851620852947235	0.0	-0.027875984087586403	-0.18098948895931244
32	-252.3128712871287	145.53080038736178	-1.0	-510.0	253.52079207920792	-0.03851930424571037	0.0	-0.028699561953544617	-0.18870891630649567
33	-260.2879078694818	150.1249447637104	-1.0	-526.0	261.5201535508637	-0.03870818391442299	0.0	-0.029773278161883354	-0.19681484997272491
