Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	LossPi	DeltaLossPi	KL	Entropy
1	0.8628846804300944	1.670527690732162	3.1691823	-3.7404392	6.666666666666667	0.04071618616580963	0.0	0.0	0.010434487834572792
2	-4.650762939453125	7.422732845160534	3.1691823	-31.142698	13.92	0.01866167224943638	0.0	0.0022057401947677135	0.010134057141840458
3	-14.954592821074694	15.316841563461539	3.1691823	-49.306763	21.75609756097561	-0.0018366825534030795	0.0	0.0014559748815372586	0.008695653639733791
4	-25.73299581962719	22.420880017198566	3.1691823	-83.18265	29.68421052631579	-0.004986973479390144	0.0	0.0013492723228409886	0.007478318177163601
5	-39.03512615047089	32.63814816673006	3.1691823	-113.858955	37.64383561643836	-0.007877911441028118	0.0	0.0019244743743911386	0.006282193120568991
6	-53.10923235603933	42.481795506289544	3.1691823	-145.86801	45.61797752808989	-0.007724631577730179	0.0	0.0024934227112680674	0.004911019001156092
7	-67.34684244791667	51.712857616429815	3.1691823	-165.69743	53.6	-0.003758236300200224	0.0	0.0031239583622664213	0.003497437108308077
8	-80.64409542871901	59.073813086358186	3.1691823	-185.40733	61.586776859504134	-0.005986605770885944	0.0	0.0038257918786257505	0.002659766236320138
9	-93.26863309762774	65.5625154387546	3.1691823	-210.2997	69.57664233576642	-0.006458274554461241	0.0	0.0044263796880841255	0.002445413265377283
10	-105.93825316584967	72.36130524480626	3.1691823	-243.22842	77.56862745098039	-0.004915089812129736	0.0	0.004994209855794907	0.0025413569528609514
11	-119.55420210798816	80.9119298040492	3.1691823	-298.3374	85.56213017751479	-0.0007853863062337041	0.0	0.005761707201600075	0.0030375560745596886
12	-133.90242820945946	90.61369593991789	3.1691823	-370.5405	93.55675675675676	-0.008318961597979069	0.0	0.0066341497004032135	0.0030899173580110073
13	-154.76488650497512	115.11605651542139	3.1691823	-606.36066	101.55223880597015	-0.007755897473543882	0.0	0.0073057785630226135	0.0001889832055894658
14	-189.54122263824885	167.59760894877235	3.1691823	-818.6438	109.54838709677419	0.005014738533645868	0.0	0.008148900233209133	-0.0026896807830780745
15	-235.58608838519314	235.85112056753383	3.1691823	-995.8459	117.54506437768241	0.015236024744808674	0.0	0.009809593670070171	-0.0036775756161659956
16	-284.51832329317267	294.855393050975	3.1691823	-1020.8481	125.5421686746988	0.011529147624969482	0.0	0.012360124848783016	-0.001307089114561677
17	-329.13142688679244	335.66670351564005	3.1691823	-1045.703	133.53962264150942	0.006465618498623371	0.0	0.015190958976745605	0.0018936757696792483
18	-370.1494939946619	366.235946738266	3.1691823	-1070.5176	141.5373665480427	0.0016252591740339994	0.0	0.01811133325099945	0.0054162051528692245
19	-407.99705387205387	389.9536016602635	3.1691823	-1090.7571	149.53535353535352	-0.0031315002124756575	0.0	0.02102808468043804	0.00918907392770052
20	-443.109624600639	408.87890049691424	3.1691823	-1123.0731	157.5335463258786	-0.008465674705803394	0.0	0.023944037035107613	0.013196269050240517
21	-476.52141907294833	425.33236780229174	3.1691823	-1175.4092	165.53191489361703	-0.013658507727086544	0.0	0.026729708537459373	0.017481312155723572
