Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	LossPi	DeltaLossPi	KL	Entropy
1	-6.471237606472439	3.7542533206853177	-1.2693866	-13.885831	6.666666666666667	0.016287967562675476	0.0	0.0	-0.01480502262711525
2	-13.911534423828124	8.92252734042463	-1.2693866	-36.032475	13.92	-0.0008925127913244069	0.0	0.0038909190334379673	-0.010621937923133373
3	-22.05658554449314	12.72821118408421	-1.2693866	-44.706516	21.75609756097561	-0.00950593315064907	0.0	0.0031610557343810797	-0.007701387628912926
4	-28.304149962308113	15.129911890911803	-1.2693866	-63.18399	29.68421052631579	-0.008561712689697742	0.0	-0.0005602394230663776	-0.00559880631044507
5	-36.5495036922089	21.024238905970947	-1.2693866	-82.591866	37.64383561643836	-0.013877741061151028	0.0	5.6273061090905685e-06	-0.003289979649707675
6	-44.28720264220506	25.289840218127654	-1.2693866	-84.629684	45.61797752808989	-0.00801208708435297	0.0	-0.0021777437068521976	-0.00044584504212252796
7	-48.30225074404762	25.22529437272192	-1.2693866	-84.629684	53.6	-0.004000829067081213	0.0	-0.00387277128174901	0.003155406564474106
8	-55.077309852789256	31.749238415737455	-1.2693866	-133.48792	61.586776859504134	0.03177472576498985	0.0	-0.004472636617720127	0.003553335787728429
9	-64.54727417883211	39.65610323421387	-1.2693866	-149.48108	69.57664233576642	0.028887473046779633	0.0	-0.005323971621692181	0.0007340364390984178
10	-73.57691227532679	45.95093202095874	-1.2693866	-171.57455	77.56862745098039	0.025809084996581078	0.0	-0.00647168280556798	-6.339195533655584e-05
11	-82.99800064718934	52.6224621308245	-1.2693866	-192.33066	85.56213017751479	0.020550556480884552	0.0	-0.005781267303973436	0.0008708022651262581
12	-92.73692989864865	59.50463302425578	-1.2693866	-221.13904	93.55675675675676	0.012895633466541767	0.0	-0.0020400909706950188	0.0033202774357050657
13	-103.246190920398	67.43752867381663	-1.2693866	-251.69861	101.55223880597015	0.011291897855699062	0.0	-0.0006567243253812194	0.006868084892630577
14	-114.75405025921658	76.8087164132476	-1.2693866	-302.23492	109.54838709677419	0.008273893035948277	0.0	0.0030499687418341637	0.011313811875879765
15	-127.99464357564378	88.88204376510849	-1.2693866	-348.2859	117.54506437768241	0.0012867538025602698	0.0	0.007068892940878868	0.016534473747015
16	-142.62873368473896	102.64863354118012	-1.2693866	-407.82315	125.5421686746988	-0.007116262335330248	0.0	0.012522698380053043	0.02233663760125637
17	-159.06639150943397	118.94597632126472	-1.2693866	-463.44925	133.53962264150942	-0.00787834357470274	0.0	0.01403208076953888	0.02856587991118431
18	-177.11171040925268	137.02097405492654	-1.2693866	-538.9345	141.5373665480427	-0.012888619676232338	0.0	0.018356380984187126	0.03531806543469429
19	-197.18657933501683	157.7781867970228	-1.2693866	-619.9319	149.53535353535352	-0.02008252777159214	0.0	0.025353390723466873	0.042643796652555466
20	-222.8490415335463	190.95623672728766	-1.2693866	-852.66925	157.5335463258786	-0.020754864439368248	0.0	0.03123110719025135	0.04909113794565201
